City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Gladstone,AU,71.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
251,Torbay,CA,40.28,overcast clouds,47.6666,-52.7314,Gallows Cove
252,Mkushi,ZM,66.04,overcast clouds,-13.6202,29.3939,Mkushi Police Club
254,Ilulissat,GL,30.22,few clouds,69.2167,-51.1,Hotel Arctic
257,Cherkasy,UA,42.6,overcast clouds,49.4285,32.0621,Dnipro - Cherkasy Oblast
258,Olga,RU,37.47,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
259,Ponta Do Sol,PT,72.01,broken clouds,32.6667,-17.1,Hotel do Campo
260,Kaeo,NZ,62.33,light rain,-35.1,173.7833,Bushido Lodge
261,Naze,JP,67.12,few clouds,28.3667,129.4833,Shishime Hotel
262,Tomatlan,MX,92.97,scattered clouds,19.9333,-105.25,El Salvial
263,Christchurch,NZ,50.95,overcast clouds,-43.5333,172.6333,The George
264,Arrecife,ES,71.58,scattered clouds,28.963,-13.5477,Hotel Lancelot
265,Hasaki,JP,57.6,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
267,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
268,Kantunilkin,MX,89.17,broken clouds,21.0917,-87.45,Posada Paraiso
270,Quang Ngai,VN,73.09,scattered clouds,15.1167,108.8,Central Hotel
271,Ukiah,US,49.86,broken clouds,39.1502,-123.2078,Hampton Inn Ukiah
272,Chifeng,CN,40.01,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
273,Kodiak,US,33.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
274,Honolulu,US,75.31,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
275,Rocha,UY,71.37,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
277,Contamana,PE,89.2,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
278,Shubarkuduk,KZ,57.52,overcast clouds,49.1447,56.4872,Sirius
279,Laguna,US,56.28,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
280,Corowa,AU,49.28,few clouds,-36.0333,146.3833,Statesman Motor Inn
281,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
282,Wanning,CN,73.85,few clouds,18.8003,110.3967,Paradise Hotel
283,Port-Gentil,GA,81.59,scattered clouds,-0.7193,8.7815,Fengshui Residence
284,Moroni,KM,80.55,light rain,-11.7022,43.2551,Hotel les Arcades
285,Campbell River,CA,40.59,overcast clouds,50.0163,-125.2446,Anchor Inn & Suites
286,Mezen,RU,32.0,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
287,Sur,OM,86.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
289,Nuuk,GL,30.81,few clouds,64.1835,-51.7216,Vandrehuset
290,Warwick,US,57.76,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
291,Zaraza,VE,99.45,broken clouds,9.3503,-65.3245,Hotel Zaraza
292,Upernavik,GL,13.05,light snow,72.7868,-56.1549,Café de Upernavik
293,Formosa Do Rio Preto,BR,97.29,scattered clouds,-11.0483,-45.1931,Porto Center Hotel
294,Le Mars,US,57.04,overcast clouds,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
296,Molchanovo,RU,25.39,broken clouds,57.5817,83.7692,Yut Inn
297,Rorvik,NO,42.91,few clouds,64.8621,11.2373,Kysthotellet Rørvik AS
298,Kaihua,CN,60.03,clear sky,23.3687,104.28,Zhongyu Hotel
299,Fortuna,US,46.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
300,Lengshuitan,CN,68.13,overcast clouds,26.4111,111.5956,Jialong Hotel
