City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Souillac,MU,-20.5167,57.5167,77.38,88,75,17.27,light rain
242,Thinadhoo,MV,0.5333,72.9333,84.4,69,5,11.39,clear sky
243,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,60,100,6.91,overcast clouds
244,Tubuala,PA,9.5167,-79.0333,81.81,80,84,15.9,broken clouds
245,Mount Gambier,AU,-37.8333,140.7667,46.42,92,0,3.98,clear sky
246,Kudahuvadhoo,MV,2.6708,72.8944,85.32,72,14,11.41,few clouds
247,Olafsvik,IS,64.8945,-23.7142,38.3,73,99,13.69,overcast clouds
248,Richards Bay,ZA,-28.783,32.0377,70.34,80,46,3.31,scattered clouds
249,Bihoro,JP,43.8228,144.1044,40.26,96,100,5.3,light rain
250,Gladstone,AU,-23.85,151.25,71.78,83,40,3.44,scattered clouds
251,Torbay,CA,47.6666,-52.7314,40.28,80,100,26.46,overcast clouds
252,Mkushi,ZM,-13.6202,29.3939,66.04,88,94,5.01,overcast clouds
253,Venezuela,VE,8.0,-66.0,97.39,28,83,17.98,broken clouds
254,Ilulissat,GL,69.2167,-51.1,30.22,47,20,5.75,few clouds
255,Envira,BR,-7.3,-70.2167,87.53,63,86,3.2,overcast clouds
256,Omsukchan,RU,62.5333,155.8,-18.8,100,99,4.65,overcast clouds
257,Cherkasy,UA,49.4285,32.0621,42.6,72,87,20.15,overcast clouds
258,Olga,RU,43.7444,135.2892,37.47,79,100,4.54,overcast clouds
259,Ponta Do Sol,PT,32.6667,-17.1,72.01,65,75,9.44,broken clouds
260,Kaeo,NZ,-35.1,173.7833,62.33,91,100,11.97,light rain
261,Naze,JP,28.3667,129.4833,67.12,91,13,5.48,few clouds
262,Tomatlan,MX,19.9333,-105.25,92.97,32,46,7.58,scattered clouds
263,Christchurch,NZ,-43.5333,172.6333,50.95,89,100,2.3,overcast clouds
264,Arrecife,ES,28.963,-13.5477,71.58,53,40,17.27,scattered clouds
265,Hasaki,JP,35.7333,140.8333,57.6,92,13,11.97,few clouds
266,Mitu,CO,1.1983,-70.1733,84.9,71,98,1.95,overcast clouds
267,Mahajanga,MG,-15.7167,46.3167,78.82,89,20,2.3,few clouds
268,Kantunilkin,MX,21.0917,-87.45,89.17,45,56,9.4,broken clouds
269,Nalut,LY,30.3333,10.85,81.91,14,100,19.93,overcast clouds
270,Quang Ngai,VN,15.1167,108.8,73.09,94,39,4.29,scattered clouds
271,Ukiah,US,39.1502,-123.2078,49.86,67,75,1.99,broken clouds
272,Chifeng,CN,42.2683,118.9636,40.01,25,49,2.35,scattered clouds
273,Kodiak,US,57.79,-152.4072,33.31,80,0,0.0,clear sky
274,Honolulu,US,21.3069,-157.8583,75.31,80,40,8.05,scattered clouds
275,Rocha,UY,-34.4833,-54.3333,71.37,38,40,9.6,scattered clouds
276,Shirokiy,RU,49.758,129.523,27.16,84,16,7.31,few clouds
277,Contamana,PE,-7.3333,-75.0167,89.2,61,73,3.96,broken clouds
278,Shubarkuduk,KZ,49.1447,56.4872,57.52,65,93,5.95,overcast clouds
279,Laguna,US,38.421,-121.4238,56.28,42,0,6.91,clear sky
280,Corowa,AU,-36.0333,146.3833,49.28,86,19,5.39,few clouds
281,Quatre Cocos,MU,-20.2078,57.7625,77.11,79,30,18.54,light rain
282,Wanning,CN,18.8003,110.3967,73.85,91,16,5.01,few clouds
283,Port-Gentil,GA,-0.7193,8.7815,81.59,79,31,11.59,scattered clouds
284,Moroni,KM,-11.7022,43.2551,80.55,78,92,2.62,light rain
285,Campbell River,CA,50.0163,-125.2446,40.59,100,100,2.3,overcast clouds
286,Mezen,RU,65.8522,44.24,32.0,94,100,3.71,overcast clouds
287,Sur,OM,22.5667,59.5289,86.95,32,0,5.46,clear sky
288,Kamenka,RU,51.3223,42.7678,56.89,67,26,13.44,scattered clouds
289,Nuuk,GL,64.1835,-51.7216,30.81,80,20,10.36,few clouds
290,Warwick,US,41.7001,-71.4162,57.76,89,75,8.05,broken clouds
291,Zaraza,VE,9.3503,-65.3245,99.45,24,67,8.43,broken clouds
292,Upernavik,GL,72.7868,-56.1549,13.05,90,100,10.27,light snow
293,Formosa Do Rio Preto,BR,-11.0483,-45.1931,97.29,28,30,2.26,scattered clouds
294,Le Mars,US,42.7942,-96.1656,57.04,77,100,31.07,overcast clouds
295,Kasongo-Lunda,CD,-6.4667,16.8167,77.41,81,78,1.45,broken clouds
