City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Tecoanapa,MX,2022-04-04 17:38:01,16.5167,-98.75,83.08,55,0,10.25
212,Sola,VU,2022-04-04 17:38:02,-13.8833,167.55,81.79,76,96,12.33
213,Georgetown,MY,2022-04-04 17:38:02,5.4112,100.3354,78.73,93,40,5.75
214,Uruzgan,AF,2022-04-04 17:38:03,32.8333,66.0,63.84,19,100,2.15
215,Vanimo,PG,2022-04-04 17:38:03,-2.6741,141.3028,77.16,90,97,5.79
216,Abu Samrah,SY,2022-04-04 17:38:04,35.3029,37.1841,61.65,42,87,7.7
217,Labuhan,ID,2022-04-04 17:38:04,-6.8844,112.2051,76.32,89,37,7.7
218,Takoradi,GH,2022-04-04 17:38:05,4.8845,-1.7554,83.35,78,77,11.1
219,Xining,CN,2022-04-04 17:38:05,36.6167,101.7667,40.8,36,48,1.9
220,Liku,ID,2022-04-04 17:38:06,-0.7275,119.8922,74.77,92,99,1.74
221,Nishihara,JP,2022-04-04 17:38:06,26.1842,127.7558,61.88,75,0,6.91
222,San Quintin,MX,2022-04-04 17:38:06,30.4833,-115.95,64.42,69,12,13.13
223,Laguna,US,2022-04-04 17:38:07,38.421,-121.4238,64.98,62,0,8.05
224,Valle De Allende,MX,2022-04-04 17:38:07,26.9333,-105.4,79.25,8,99,1.28
225,Yenagoa,NG,2022-04-04 17:38:07,4.9247,6.2642,81.41,79,79,7.07
226,Hofn,IS,2022-04-04 17:38:08,64.2539,-15.2082,30.22,80,100,9.22
227,Padang,ID,2022-04-04 17:38:08,-0.9492,100.3543,73.45,81,33,3.98
228,Lorengau,PG,2022-04-04 17:38:09,-2.0226,147.2712,79.77,84,100,10.8
229,Aksu,CN,2022-04-04 17:38:09,41.1231,80.2644,61.29,22,0,2.89
230,Sierra Vista,US,2022-04-04 17:35:25,31.5545,-110.3037,68.7,28,0,8.05
231,Musoma,TZ,2022-04-04 17:38:09,-1.5,33.8,67.5,77,59,13.67
232,Asau,RO,2022-04-04 17:39:10,46.4333,26.4,40.12,71,84,6.4
